Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Will Smith,29,124,526,461,72,113,24,2,19,72,0,1,48,104,.245,.323,.430,.753,113,198,7,9,0,8,6,smithwi05
2,1B,Freddie Freeman*,34,144,626,530,81,150,33,2,22,89,9,2,78,99,.283,.380,.477,.858,144,253,13,10,0,8,9,freemfr01
3,2B,Gavin Lux*,26,134,468,422,54,103,22,2,10,48,5,2,42,104,.244,.314,.377,.691,97,159,8,2,0,2,0,luxga01
4,SS,Miguel Rojas,35,101,331,303,41,87,21,0,6,36,8,2,22,34,.287,.337,.416,.753,114,126,7,2,2,2,0,rojasmi02
5,3B,Max Muncy*,33,68,271,220,46,52,15,0,15,46,1,0,40,74,.236,.358,.509,.867,145,112,1,5,0,6,3,muncyma01
6,LF,Teoscar Hernández,31,148,625,565,82,151,31,2,31,93,11,3,51,180,.267,.335,.494,.829,133,279,7,7,0,1,2,hernate01
7,CF,Andy Pages,23,111,427,390,60,98,23,1,11,43,1,2,27,103,.251,.307,.400,.707,101,156,8,6,0,4,0,pagesan01
8,RF,Jason Heyward*,34,63,197,173,25,36,10,2,6,28,4,0,17,36,.208,.289,.393,.682,93,68,3,4,0,3,0,heywaja01
9,DH,Shohei Ohtani*,29,153,703,611,128,184,34,7,53,123,55,4,78,160,.301,.383,.640,1.023,186,391,7,6,0,5,10,ohtansh01
10,UT,Mookie Betts,31,110,495,430,74,127,23,5,19,73,16,1,60,56,.295,.380,.505,.884,151,217,10,1,0,4,1,bettsmo01
11,3B,Enrique Hernández,32,120,373,343,39,75,16,0,11,38,0,0,26,77,.219,.272,.362,.633,79,124,12,0,1,3,0,hernaen02
12,LF,Chris Taylor,33,82,234,202,24,37,6,1,3,20,3,1,27,73,.183,.283,.267,.551,59,54,5,2,1,2,0,tayloch03
13,CF,James Outman* (40-man),27,52,154,135,12,20,4,0,4,11,2,1,15,54,.148,.253,.267,.520,49,36,0,4,0,0,0,outmaja01
14,C,Austin Barnes (10-day IL),34,52,149,134,10,35,3,0,1,11,2,0,13,34,.261,.327,.306,.633,83,41,2,0,2,0,0,barneau01
15,UT,Tommy Edman#,29,31,126,117,18,31,4,1,6,19,6,0,8,23,.265,.310,.470,.780,119,55,1,0,0,1,0,edmanto01
16,CI,Cavan Biggio*,29,30,88,73,11,14,1,0,3,10,0,0,10,28,.192,.306,.329,.635,82,24,0,2,2,0,0,biggica01
17,LF,Miguel Vargas,24,30,80,71,11,17,4,0,3,9,1,0,8,16,.239,.313,.423,.735,108,30,1,0,0,1,0,vargami01
18,CF,Kevin Kiermaier*,34,30,60,55,6,9,1,1,1,6,1,2,2,20,.164,.207,.273,.480,36,15,1,1,2,0,0,kiermke01
19,SS,Nick Ahmed,34,17,49,48,6,11,0,0,1,2,1,0,1,14,.229,.245,.292,.537,53,14,0,0,0,0,0,ahmedni01
20,C,Hunter Feduccia*,27,5,14,12,2,4,0,0,0,1,0,0,2,2,.333,.429,.333,.762,123,4,1,0,0,0,0,feduchu01
21,IF,Amed Rosario,28,5,12,11,1,3,1,0,0,2,1,1,1,2,.273,.333,.364,.697,100,4,0,0,0,0,0,rosaram01
22,OF,Taylor Trammell*,26,5,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,trammta01
23,P,Michael Grove (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,grovemi01
24,P,Brent Honeywell Jr.,29,0,0,,,,,,,,,,,,,,,,,,,,,,,honeybr01
25,P,Elieser Hernández,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hernael01
26,P,Eduardo Salazar,26,0,0,,,,,,,,,,,,,,,,,,,,,,,salazed01
27,P,Nick Ramirez*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,ramirni01
28,P,Landon Knack*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,knackla01
29,P,Jack Flaherty,28,0,0,,,,,,,,,,,,,,,,,,,,,,,flaheja01
30,P,Yoshinobu Yamamoto,25,0,0,,,,,,,,,,,,,,,,,,,,,,,yamamyo01
31,P,Nabil Crismatt,29,0,0,,,,,,,,,,,,,,,,,,,,,,,crismna01
32,P,Gavin Stone (15-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,stonega01
33,P,Gus Varland*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,varlagu01
34,P,Anthony Banda* (15-day IL),30,0,0,,,,,,,,,,,,,,,,,,,,,,,bandaan01
35,P,Kyle Hurt (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,hurtky01
36,P,Walker Buehler,29,0,0,,,,,,,,,,,,,,,,,,,,,,,buehlwa01
37,P,Blake Treinen,36,0,0,,,,,,,,,,,,,,,,,,,,,,,treinbl01
